ticker,valor_actual,variacion,volumen
ALGM,$37.46,0.89,828376
ALGN,$313.64,9.53,595910
ALGS,$1.24,-0.12,115466
ALGT,$106.85,4.18,222179
ALHC,$6.89,-0.11,1346864
ALIM,$1.90,-382,40996
ALIT,$8.82,-0.03,4906436
ALK,$43.16,01.07,1366212
ALKS,$29.45,0.74,1075694
ALKT,$12.18,0.65,224317
ALL,$115.73,1.71,2244547
ALL^B,$25.14,0.09,27059
ALL^H,$23.355,645,55778
ALL^I,$22.68,0.05,23530
ALLE,$108.09,01.06,813840
ALLG,$2.05,0.08,35719
ALLK,$4.26,-0.04,615096
ALLO,$6.60,0.15,2082974
ALLR,$0.4118,-233,2922780
ALLT,$2.815,115,17611
ALLY,$25.32,0.99,4806843
ALNY,$212.05,6.66,768097
ALOR,$10.35,0.00,8251
ALORU,$10.39,0.06,1100
ALOT,$14.70,0.22,14578
ALPA,$10.17,0.00,139578
ALPAU,$10.18,0.00,106
ALPAW,$0.1288,609,6268
ALPN,$7.39,0.55,46707
ALPP,$0.30,203,746608
ALPS,$0.7308,308,198021
ALRM,$45.63,0.13,585255
ALRN,$1.365,0.01,8411
ALRS,$13.90,0.29,39814
ALSA,$10.57,0.01,746
ALSAR,$0.0901,-223,26705
ALSAW,$0.0154,0.00,100
ALSN,$47.24,1.16,578328
ALT,$4.94,0.00,1006297
ALTG,$13.37,0.23,149227
ALTG^A,$25.451,-39,10310
ALTI,$5.19,-1.14,614190
ALTIW,$1.185,695,622662
ALTO,$1.40,0.03,978047
ALTR,$68.23,1.34,483148
ALTU,$10.10,0.00,10781
ALTUW,$0.067,-3,24915
ALV,$85.58,3.21,776272
ALVO,$9.77,0.13,13331
ALVR,$4.41,0.15,159612
ALX,$173.12,-3.45,8008
ALXO,$6.37,0.02,208834
ALYA,$1.855,25,6391
ALZN,$0.5136,38,79128
AM,$10.45,0.17,2052998
AMAL,$15.37,0.36,175893
AMAM,$11.78,-0.05,499217
AMAO,$10.19,0.00,11478
AMAOU,$10.50,0.00,1
AMAT,$116.06,3.61,4874190
AMBA,$66.09,02.09,548147
AMBC,$14.93,0.40,274759
AMBI,$5.90,0.57,35039
AMBO,$0.237,-23,129167
AMBP,$3.72,0.02,1209025
AMC,$5.89,-0.03,28346006
AMCR,$10.42,0.21,10166138
AMCX,$15.06,0.40,635626
AMD,$89.84,3.23,78407271
AME,$145.02,2.10,717564
AMED,$79.07,-1.40,2770681
AMEH,$34.88,0.73,194595
AMG,$141.59,3.83,200515
AMGN,$236.53,4.64,2806755
AMH,$35.07,1.48,3381359
AMH^G,$24.36,0.37,1302
AMH^H,$25.20,0.40,1855
AMK,$27.14,0.83,154504
AMKR,$21.59,1.10,706044
AMLI,$2.10,0.05,229989
AMLX,$29.04,1.31,738621
AMN,$90.89,5.79,2154125
AMNB,$26.65,0.29,26847
AMOT,$34.80,0.16,29200
AMP,$291.18,9.16,708975
AMPE,$0.2116,17,137036
AMPG,$3.25,0.18,58146
AMPGW,$0.5999,428,16447
AMPH,$36.49,-0.07,327868
AMPL,$11.66,0.50,457588
AMPS,$4.38,0.21,902274
AMPX,$8.76,0.31,131527
AMPY,$7.15,0.15,472422
AMR,$147.12,7.96,381759
AMRC,$43.03,1.70,326564
AMRK,$36.30,1.32,135718
AMRN,$1.39,0.02,2457338
AMRS,$0.7601,-781,6253935
AMRX,$1.92,0.08,869772
AMS,$2.80,0.04,27277
AMSC,$3.90,0.20,216746
AMSF,$56.53,0.68,107700
AMST,$4.05,0.23,69246
AMSWA,$12.54,0.47,141661
AMT,$196.75,2.35,1210825
AMTB,$16.96,0.37,78632
AMTD,$1.67,0.04,125515
AMTI,$0.27,0.01,59704
AMTX,$1.87,0.12,1391200
AMV,$0.53,21,288320
AMWD,$50.34,1.28,84817
AMWL,$2.07,0.08,2561832
AMX,$21.16,-0.19,2513008
AMZN,$105.655,1.655,56912580
AN,$133.22,3.80,554968
ANAB,$21.90,0.84,242196
ANDE,$37.48,0.71,359785
ANEB,$2.4301,-199,2689
ANET,$137.98,2.64,3034743
ANF,$22.72,0.89,883577
ANGH,$1.40,-0.17,10953
ANGHW,$0.0874,174,12877
ANGI,$2.44,0.06,654865
ANGN,$0.7601,671,62088
